index,value,is_one,rolling_density_ones
1,1,1,
2,2,0,
3,2,0,
4,1,1,
5,1,1,
6,2,0,
7,1,1,
8,2,0,
9,2,0,
10,1,1,
11,2,0,
12,2,0,
13,1,1,
14,1,1,
15,2,0,
16,1,1,
17,1,1,
18,2,0,
19,2,0,
20,1,1,
21,2,0,
22,1,1,
23,1,1,
24,2,0,
25,1,1,
26,2,0,
27,2,0,
28,1,1,
29,1,1,
30,2,0,
31,1,1,
32,1,1,
33,2,0,
34,1,1,
35,2,0,
36,2,0,
37,1,1,
38,2,0,
39,2,0,
40,1,1,
41,1,1,
42,2,0,
43,1,1,
44,2,0,
45,2,0,
46,1,1,
47,2,0,
48,1,1,
49,1,1,
50,2,0,
51,1,1,
52,1,1,
53,2,0,
54,2,0,
55,1,1,
56,2,0,
57,2,0,
58,1,1,
59,1,1,
60,2,0,
61,1,1,
62,2,0,
63,2,0,
64,1,1,
65,2,0,
66,2,0,
67,1,1,
68,1,1,
69,2,0,
70,1,1,
71,1,1,
72,2,0,
73,1,1,
74,2,0,
75,2,0,
76,1,1,
77,2,0,
78,1,1,
79,1,1,
80,2,0,
81,2,0,
82,1,1,
83,2,0,
84,2,0,
85,1,1,
86,1,1,
87,2,0,
88,1,1,
89,2,0,
90,2,0,
91,1,1,
92,2,0,
93,2,0,
94,1,1,
95,1,1,
96,2,0,
97,1,1,
98,1,1,
99,2,0,
100,2,0,
101,1,1,
102,2,0,
103,1,1,
104,1,1,
105,2,0,
106,1,1,
107,2,0,
108,2,0,
109,1,1,
110,2,0,
111,2,0,
112,1,1,
113,1,1,
114,2,0,
115,1,1,
116,1,1,
117,2,0,
118,1,1,
119,2,0,
120,2,0,
121,1,1,
122,1,1,
123,2,0,
124,1,1,
125,1,1,
126,2,0,
127,2,0,
128,1,1,
129,2,0,
130,1,1,
131,1,1,
132,2,0,
133,1,1,
134,1,1,
135,2,0,
136,2,0,
137,1,1,
138,2,0,
139,2,0,
140,1,1,
141,1,1,
142,2,0,
143,1,1,
144,2,0,
145,2,0,
146,1,1,
147,2,0,
148,1,1,
149,1,1,
150,2,0,
151,2,0,
152,1,1,
153,2,0,
154,2,0,
155,1,1,
156,2,0,
157,1,1,
158,1,1,
159,2,0,
160,1,1,
161,1,1,
162,2,0,
163,2,0,
164,1,1,
165,2,0,
166,2,0,
167,1,1,
168,1,1,
169,2,0,
170,1,1,
171,2,0,
172,2,0,
173,1,1,
174,2,0,
175,1,1,
176,1,1,
177,2,0,
178,1,1,
179,1,1,
180,2,0,
181,2,0,
182,1,1,
183,2,0,
184,1,1,
185,1,1,
186,2,0,
187,1,1,
188,2,0,
189,2,0,
190,1,1,
191,1,1,
192,2,0,
193,1,1,
194,1,1,
195,2,0,
196,1,1,
197,2,0,
198,2,0,
199,1,1,
200,2,0,0.5
201,1,1,0.5
202,1,1,0.505
203,2,0,0.505
204,2,0,0.5
205,1,1,0.5
206,2,0,0.5
207,2,0,0.495
208,1,1,0.5
209,1,1,0.505
210,2,0,0.5
211,1,1,0.505
212,2,0,0.505
213,2,0,0.5
214,1,1,0.5
215,2,0,0.5
216,2,0,0.495
217,1,1,0.495
218,1,1,0.5
219,2,0,0.5
220,1,1,0.5
221,1,1,0.505
222,2,0,0.5
223,1,1,0.5
224,2,0,0.5
225,2,0,0.495
226,1,1,0.5
227,1,1,0.505
228,2,0,0.5
229,1,1,0.5
230,1,1,0.505
231,2,0,0.5
232,2,0,0.495
233,1,1,0.5
234,2,0,0.495
235,2,0,0.495
236,1,1,0.5
237,2,0,0.495
238,1,1,0.5
239,1,1,0.505
240,2,0,0.5
241,1,1,0.5
242,2,0,0.5
243,2,0,0.495
244,1,1,0.5
245,1,1,0.505
246,2,0,0.5
247,1,1,0.505
248,1,1,0.505
249,2,0,0.5
250,2,0,0.5
251,1,1,0.5
252,2,0,0.495
253,1,1,0.5
254,1,1,0.505
255,2,0,0.5
256,1,1,0.505
257,1,1,0.51
258,2,0,0.505
