year,contract_id,measure,stars
2016,C0001,Breast Cancer Screening,3.5
2016,C0002,Breast Cancer Screening,3.5
2016,C0003,Breast Cancer Screening,3.5
2016,C0004,Breast Cancer Screening,4.0
2016,C0005,Breast Cancer Screening,3.5
2016,C0006,Breast Cancer Screening,4.0
2016,C0007,Breast Cancer Screening,4.0
2016,C0008,Breast Cancer Screening,3.5
2016,C0009,Breast Cancer Screening,3.5
2016,C0010,Breast Cancer Screening,4.0
2016,C0011,Breast Cancer Screening,3.5
2016,C0012,Breast Cancer Screening,3.5
2016,C0013,Breast Cancer Screening,3.5
2016,C0014,Breast Cancer Screening,4.0
2016,C0015,Breast Cancer Screening,3.5
2016,C0016,Breast Cancer Screening,4.0
2016,C0017,Breast Cancer Screening,4.0
2016,C0018,Breast Cancer Screening,3.5
2016,C0019,Breast Cancer Screening,4.0
2016,C0020,Breast Cancer Screening,3.5
2016,C0021,Breast Cancer Screening,3.5
2016,C0022,Breast Cancer Screening,4.0
2016,C0023,Breast Cancer Screening,3.5
2016,C0024,Breast Cancer Screening,4.0
2016,C0025,Breast Cancer Screening,3.5
2016,C0026,Breast Cancer Screening,4.0
2016,C0027,Breast Cancer Screening,3.5
2016,C0028,Breast Cancer Screening,3.5
2016,C0029,Breast Cancer Screening,3.5
2016,C0030,Breast Cancer Screening,3.5
2016,C0031,Breast Cancer Screening,3.5
2016,C0032,Breast Cancer Screening,3.5
2016,C0033,Breast Cancer Screening,3.5
2016,C0034,Breast Cancer Screening,4.0
2016,C0035,Breast Cancer Screening,3.5
2016,C0036,Breast Cancer Screening,3.5
2016,C0037,Breast Cancer Screening,3.5
2016,C0038,Breast Cancer Screening,3.5
2016,C0039,Breast Cancer Screening,4.0
2016,C0040,Breast Cancer Screening,4.0
2016,C0041,Breast Cancer Screening,3.5
2016,C0042,Breast Cancer Screening,3.5
2016,C0043,Breast Cancer Screening,4.0
2016,C0044,Breast Cancer Screening,3.5
2016,C0045,Breast Cancer Screening,3.5
2016,C0046,Breast Cancer Screening,4.0
2016,C0047,Breast Cancer Screening,4.0
2016,C0048,Breast Cancer Screening,3.5
2016,C0049,Breast Cancer Screening,4.0
